,v,vw,o,c,h,l,t,n
0,79100.0,79.0465,79.75,79.125,79.75,78.575,2020-06-01 00:56:00,318
1,22428.0,79.0556,79.0875,79.0,79.25,78.95,2020-06-01 01:55:00,86
2,22260.0,79.1514,79.0,79.24,79.3425,78.95,2020-06-01 02:54:00,122
3,276692.0,79.4858,79.3325,79.425,79.625,79.2775,2020-06-01 03:53:00,857
4,591336.0,79.331,79.4025,79.195,79.625,79.125,2020-06-01 04:52:00,1811
5,10731216.0,79.6732,79.2475,79.9948,80.0625,79.13,2020-06-01 05:51:00,29451
6,18668548.0,80.1868,79.9975,80.1277,80.4275,79.8875,2020-06-01 06:50:00,53279
7,9124764.0,80.0913,80.13,80.1422,80.24,79.925,2020-06-01 07:49:00,30181
8,6823736.0,80.1809,80.1406,80.2664,80.2775,80.0625,2020-06-01 08:48:00,19847
9,8991572.0,80.4386,80.265,80.5225,80.5875,80.21,2020-06-01 09:47:00,26803
10,6724040.0,80.45,80.525,80.455,80.5675,80.3451,2020-06-01 10:46:00,21446
11,9929896.0,80.48,80.4534,80.4575,80.5875,80.3275,2020-06-01 11:45:00,30053
12,5362268.0,80.4631,80.465,80.4875,80.52,80.2256,2020-06-01 12:44:00,15672
13,24320.0,80.4944,80.5,80.5,80.5,80.475,2020-06-01 13:43:00,112
14,60852.0,80.4871,80.5,80.48,80.5225,80.44,2020-06-01 14:42:00,125
15,133140.0,80.2421,80.44,80.2525,80.475,80.005,2020-06-01 15:41:00,339
16,65020.0,80.2161,80.2625,80.1875,80.27,80.1875,2020-06-01 16:40:00,112
17,39068.0,80.665,80.6225,80.7175,80.75,80.6225,2020-06-02 00:32:00,105
18,25388.0,80.8259,80.7475,80.9,80.9325,80.7475,2020-06-02 01:31:00,70
19,13744.0,80.9605,80.9125,80.95,80.9975,80.9,2020-06-02 02:30:00,56
20,184556.0,80.8291,80.8775,80.625,80.995,80.5125,2020-06-02 03:29:00,453
21,718372.0,80.4073,80.625,80.12,80.9538,80.1,2020-06-02 04:28:00,1935
22,618780.0,80.2219,80.125,80.325,80.375,80.05,2020-06-02 05:27:00,2308
23,18953732.0,80.3719,80.325,80.5488,80.6175,80.125,2020-06-02 06:26:00,51028
24,15146604.0,80.1219,80.55,79.93,80.56,79.7325,2020-06-02 07:25:00,44327
25,8407244.0,80.0,79.925,80.1413,80.155,79.7725,2020-06-02 08:24:00,25015
26,6028144.0,80.2436,80.135,80.3825,80.39,80.08,2020-06-02 09:23:00,18021
27,7396656.0,80.4465,80.3875,80.5425,80.55,80.345,2020-06-02 10:22:00,20790
28,7668900.0,80.4769,80.54,80.5025,80.5775,80.32,2020-06-02 11:21:00,22624
29,16259088.0,80.6283,80.5075,80.7675,80.86,80.1515,2020-06-02 12:20:00,37333
30,208592.0,80.8062,80.78,80.795,80.835,80.755,2020-06-02 13:19:00,501
31,119812.0,80.7858,80.7975,80.78,80.8,80.755,2020-06-02 14:18:00,228
32,127364.0,80.7707,80.7825,80.7625,80.8,80.7025,2020-06-02 15:17:00,196
33,179220.0,80.8067,80.7475,80.8375,80.87,80.7375,2020-06-02 16:16:00,289
34,20756.0,81.1847,81.125,81.2475,81.25,81.075,2020-06-03 00:08:00,88
35,35900.0,81.2569,81.15,81.345,81.4125,81.125,2020-06-03 01:07:00,126
36,17384.0,81.3161,81.275,81.275,81.3725,81.2575,2020-06-03 02:06:00,59
37,133672.0,81.2194,81.2575,81.235,81.315,81.1225,2020-06-03 03:05:00,333
38,373728.0,81.2154,81.225,81.2375,81.3125,81.075,2020-06-03 04:04:00,1142
39,517752.0,81.0989,81.2125,81.0075,81.2825,80.875,2020-06-03 05:03:00,1733
40,17212316.0,80.973,81.0225,81.1341,81.2525,80.615,2020-06-03 06:02:00,44886
41,14000936.0,80.9616,81.1375,80.9803,81.2075,80.765,2020-06-03 07:01:00,42248
42,9202852.0,80.9811,80.9775,80.88,81.1475,80.835,2020-06-03 08:00:00,29805
43,8989700.0,80.7949,80.885,80.8425,80.985,80.575,2020-06-03 08:59:00,28941
44,7843628.0,80.9498,80.8425,80.9875,81.1025,80.7875,2020-06-03 09:58:00,21962
45,10033808.0,81.1145,80.9888,81.23,81.2475,80.96,2020-06-03 10:57:00,25270
46,21794944.0,81.316,81.2275,81.36,81.55,81.0625,2020-06-03 11:56:00,50864
47,7207428.0,81.2792,81.3675,81.215,81.3875,81.0287,2020-06-03 12:55:00,9938
48,29460.0,81.1895,81.2318,81.2225,81.2318,81.1675,2020-06-03 13:54:00,94
49,40792.0,81.1494,81.21,81.21,81.21,81.105,2020-06-03 14:53:00,148
50,40840.0,81.2443,81.1975,81.28,81.28,81.1875,2020-06-03 15:52:00,150
51,16120.0,81.272,81.28,81.3,81.3,81.25,2020-06-03 16:51:00,43
