,volume,volume_weight,open,close,high,low,date,no_of_trans
0,5612145.0,9.4667,9.21,9.49,9.645,9.15,2020-05-31 21:00:00,27809
1,6320835.0,9.8901,9.62,9.92,10.04,9.62,2020-06-01 21:00:00,30443
2,8793106.0,10.5796,10.2,10.77,10.89,10.085,2020-06-02 21:00:00,39445
3,11533486.0,11.2905,10.85,11.64,11.65,10.575,2020-06-03 21:00:00,53007
4,19060519.0,12.2442,12.69,12.07,13.86,11.57,2020-06-04 21:00:00,95154
5,11437264.0,12.7462,12.7,12.98,13.04,12.3,2020-06-07 21:00:00,57874
6,7999712.0,12.4254,12.38,12.59,12.69,12.07,2020-06-08 21:00:00,46093
7,8338700.0,12.2574,12.51,12.17,12.61,11.93,2020-06-09 21:00:00,44256
8,12141816.0,10.654,10.89,10.42,11.4399,10.27,2020-06-10 21:00:00,60128
9,10383148.0,11.3802,11.2,11.53,11.62,11.045,2020-06-11 21:00:00,49942
10,7049965.0,11.1912,10.9,11.41,11.53,10.68,2020-06-14 21:00:00,38810
11,9599546.0,11.7508,12.02,11.55,12.14,11.38,2020-06-15 21:00:00,51796
12,6601989.0,11.6326,11.55,11.55,11.81,11.38,2020-06-16 21:00:00,33848
13,6125553.0,11.6725,11.26,11.65,11.935,11.1298,2020-06-17 21:00:00,35413
14,8965418.0,11.6575,11.98,11.48,12.0,11.34,2020-06-18 21:00:00,41735
15,7890042.0,11.7214,11.42,11.83,11.91,11.33,2020-06-21 21:00:00,31694
16,7345590.0,12.1353,12.12,12.2,12.31,11.93,2020-06-22 21:00:00,36867
17,7639558.0,11.2998,11.96,11.14,12.04,10.9,2020-06-23 21:00:00,39995
18,6801094.0,11.5316,11.01,11.83,11.84,10.86,2020-06-24 21:00:00,34214
19,25869142.0,10.9857,11.61,10.93,11.7,10.87,2020-06-25 21:00:00,46945
20,7460824.0,10.9448,11.04,10.99,11.19,10.7,2020-06-28 21:00:00,42268
21,5853821.0,11.1724,10.84,11.24,11.36,10.745,2020-06-29 21:00:00,27497
